iter	Passed	Remaining
0	152	152039
1	160	80286
2	172	57203
3	181	45094
4	185	36846
5	189	31410
6	195	27738
7	199	24788
8	204	22488
9	210	20792
10	214	19262
11	218	17996
12	223	16952
13	227	16022
14	231	15230
15	237	14635
16	242	14016
17	245	13398
18	249	12906
19	254	12471
20	259	12081
21	264	11736
22	269	11439
23	273	11134
24	277	10834
25	282	10587
26	285	10297
27	289	10053
28	295	9885
29	298	9655
30	301	9438
31	306	9271
32	311	9132
33	315	8955
34	319	8806
35	325	8723
36	330	8599
37	334	8473
38	342	8432
39	346	8309
40	350	8197
41	356	8136
42	360	8020
43	364	7909
44	369	7847
45	374	7761
46	377	7651
47	381	7572
48	386	7498
49	389	7405
50	393	7314
51	399	7277
52	403	7208
53	406	7129
54	412	7079
55	416	7019
56	420	6953
57	423	6882
58	429	6847
59	434	6799
60	437	6737
61	443	6704
62	446	6636
63	449	6580
64	455	6548
65	460	6511
66	464	6473
67	470	6449
68	474	6407
69	479	6364
70	483	6327
71	488	6291
72	492	6254
73	496	6212
74	501	6188
75	506	6152
76	509	6104
77	515	6095
78	518	6049
79	522	6003
80	526	5974
81	531	5947
82	535	5911
83	539	5878
84	545	5868
85	549	5837
86	552	5798
87	557	5776
88	560	5740
89	564	5707
90	569	5689
91	574	5670
92	579	5649
93	583	5625
94	589	5619
95	594	5598
96	598	5574
97	603	5559
98	608	5539
99	613	5522
100	618	5509
101	623	5490
102	628	5473
103	632	5449
104	635	5417
105	638	5388
106	642	5359
107	645	5332
108	649	5311
109	653	5286
110	659	5281
111	663	5261
112	667	5242
113	674	5238
114	677	5217
115	682	5198
116	688	5195
117	692	5173
118	696	5156
119	701	5145
120	706	5132
121	710	5116
122	715	5103
123	719	5081
124	722	5060
125	726	5041
126	732	5034
127	736	5016
128	740	5000
129	747	4999
130	750	4976
131	754	4961
132	758	4947
133	762	4927
134	766	4908
135	771	4898
136	775	4887
137	780	4875
138	784	4861
139	789	4852
140	794	4840
141	798	4827
142	803	4818
143	807	4799
144	811	4786
145	816	4773
146	819	4755
147	822	4735
148	826	4721
149	833	4721
150	837	4706
151	841	4694
152	848	4698
153	853	4687
154	856	4669
155	862	4667
156	865	4648
157	869	4632
158	874	4625
159	878	4614
160	883	4604
161	887	4589
162	893	4589
163	898	4579
164	902	4569
165	907	4558
166	911	4548
167	916	4537
168	920	4526
169	923	4509
170	927	4494
171	930	4480
172	936	4478
173	941	4467
174	945	4456
175	948	4442
176	952	4427
177	955	4410
178	963	4417
179	966	4403
180	970	4392
181	974	4379
182	979	4373
183	984	4364
184	987	4348
185	992	4345
186	995	4329
187	1000	4319
188	1007	4323
189	1011	4314
190	1015	4299
191	1020	4294
192	1024	4285
193	1029	4276
194	1033	4266
195	1037	4256
196	1042	4247
197	1045	4234
198	1050	4229
199	1053	4215
200	1057	4201
201	1062	4197
202	1066	4186
203	1070	4177
204	1074	4165
205	1079	4161
206	1083	4151
207	1088	4142
208	1094	4143
209	1098	4132
210	1103	4124
211	1107	4117
212	1111	4106
213	1114	4095
214	1120	4089
215	1124	4082
216	1128	4071
217	1133	4067
218	1137	4058
219	1142	4052
220	1147	4045
221	1152	4038
222	1155	4027
223	1159	4018
224	1164	4010
225	1168	4002
226	1173	3995
227	1178	3990
228	1183	3983
229	1187	3974
230	1190	3962
231	1195	3958
232	1200	3950
233	1204	3942
234	1210	3941
235	1214	3930
236	1218	3922
237	1224	3920
238	1228	3912
239	1232	3904
240	1238	3899
241	1242	3891
242	1246	3882
243	1251	3876
244	1254	3865
245	1257	3854
246	1261	3846
247	1269	3849
248	1273	3841
249	1277	3832
250	1283	3829
251	1287	3821
252	1291	3813
253	1297	3810
254	1300	3799
255	1304	3791
256	1309	3785
257	1314	3780
258	1318	3773
259	1322	3762
260	1326	3755
261	1330	3747
262	1335	3741
263	1341	3739
264	1345	3732
265	1349	3723
266	1353	3716
267	1357	3709
268	1361	3699
269	1365	3691
270	1370	3686
271	1374	3678
272	1378	3671
273	1384	3667
274	1388	3660
275	1392	3651
276	1397	3646
277	1401	3640
278	1406	3634
279	1410	3626
280	1415	3623
281	1423	3623
282	1429	3621
283	1433	3614
284	1437	3607
285	1440	3597
286	1444	3588
287	1461	3612
288	1466	3607
289	1469	3597
290	1473	3589
291	1478	3583
292	1482	3577
293	1485	3567
294	1488	3558
295	1493	3552
296	1498	3546
297	1502	3539
298	1509	3537
299	1512	3530
300	1517	3523
301	1522	3518
302	1525	3508
303	1529	3502
304	1534	3496
305	1539	3491
306	1543	3483
307	1547	3476
308	1552	3472
309	1556	3464
310	1559	3455
311	1565	3451
312	1568	3443
313	1573	3437
314	1577	3430
315	1581	3423
316	1584	3414
317	1588	3407
318	1594	3404
319	1598	3397
320	1602	3390
321	1608	3386
322	1611	3378
323	1616	3372
324	1620	3364
325	1625	3360
326	1629	3354
327	1637	3355
328	1642	3350
329	1651	3352
330	1655	3346
331	1664	3348
332	1669	3344
333	1674	3339
334	1679	3334
335	1683	3327
336	1687	3320
337	1697	3324
338	1700	3316
339	1705	3310
340	1711	3308
341	1716	3303
342	1722	3299
343	1729	3299
344	1735	3294
345	1739	3288
346	1744	3282
347	1748	3275
348	1756	3276
349	1762	3273
350	1768	3269
351	1778	3273
352	1782	3266
353	1792	3271
354	1796	3264
355	1802	3261
356	1807	3255
357	1812	3249
358	1820	3250
359	1824	3243
360	1833	3245
361	1837	3237
362	1842	3232
363	1847	3228
364	1852	3222
365	1857	3216
366	1862	3212
367	1866	3205
368	1871	3200
369	1875	3193
370	1880	3187
371	1885	3182
372	1888	3175
373	1892	3167
374	1896	3160
375	1902	3156
376	1906	3151
377	1910	3143
378	1917	3141
379	1921	3134
380	1925	3128
381	1931	3124
382	1935	3118
383	1939	3111
384	1943	3105
385	1946	3096
386	1952	3093
387	1957	3088
388	1961	3081
389	1966	3075
390	1969	3067
391	1975	3064
392	1979	3057
393	1983	3050
394	1988	3046
395	1993	3039
396	1997	3033
397	2001	3027
398	2005	3021
399	2010	3015
400	2014	3009
401	2019	3003
402	2023	2998
403	2027	2991
404	2033	2986
405	2037	2980
406	2039	2972
407	2045	2968
408	2048	2960
409	2052	2953
410	2055	2946
411	2061	2942
412	2065	2935
413	2070	2930
414	2076	2926
415	2079	2919
416	2083	2913
417	2089	2909
418	2093	2902
419	2097	2896
420	2102	2891
421	2105	2884
422	2108	2875
423	2114	2872
424	2120	2869
425	2124	2863
426	2127	2855
427	2132	2849
428	2136	2843
429	2139	2836
430	2143	2829
431	2148	2824
432	2151	2817
